# router parity fixture (referencia: tools/validate_router_v6.py)
# origem: target1\ROUTER.BITNET
# copia: tools/router_reference.BITNET size=25818 fnv1a64=6947798eed4962a8 vocab=99
# formato: top1_expert<TAB>ids<TAB>probs<TAB>text
hw_control	0,68,88,80,72,81,87,68,3,82,3,89,82,79,88,80,72,1	0.103497,0.843980,0.000150,0.012276,0.000534,0.002485,0.037077	aumenta o volume
hw_control	0,71,76,80,76,81,88,76,3,82,3,89,82,79,88,80,72,1	0.003746,0.988402,0.006003,0.000954,0.000108,0.000191,0.000598	diminui o volume
hw_control	0,80,88,87,72,3,82,3,68,88,71,76,82,1	0.052793,0.932159,0.005392,0.000618,0.000250,0.000085,0.008702	mute o audio
generator	0,69,82,80,3,71,76,68,3,77,68,85,89,76,86,1	0.906922,0.059766,0.030676,0.001691,0.000528,0.000352,0.000065	bom dia jarvis
generator	0,84,88,72,3,75,82,85,68,86,3,86,68,82,3,68,74,82,85,68,1	0.657100,0.014160,0.000515,0.000127,0.290793,0.003405,0.033899	que horas sao agora
disk_diag	0,84,88,68,76,86,3,71,76,86,83,82,86,76,87,76,89,82,86,3,83,70,76,3,72,86,87,68,82,3,81,82	0.011727,0.010129,0.234257,0.000161,0.686050,0.053524,0.004152	quais dispositivos pci estao no barramento
rust_coder	0,72,86,70,85,72,89,72,3,88,80,68,3,73,88,81,70,68,82,3,85,88,86,87,3,83,68,85,68,3,79,72	0.000230,0.004298,0.000078,0.922196,0.001000,0.053524,0.018675	escreve uma funcao rust para ler um arquivo
rust_coder	0,82,3,71,76,86,70,82,3,72,86,87,68,3,70,82,80,3,72,85,85,82,3,71,72,3,79,72,76,87,88,85	0.000380,0.000410,0.000427,0.901632,0.090117,0.006091,0.000943	o disco esta com erro de leitura no setor
security	0,89,72,85,76,73,76,84,88,72,3,86,72,3,75,68,3,68,79,74,88,80,3,68,87,68,84,88,72,3,71,72	0.018388,0.280029,0.160628,0.078557,0.000460,0.461138,0.000800	verifique se ha algum ataque de rede suspeito
rust_coder	0,79,72,76,68,3,72,80,3,89,82,93,3,68,79,87,68,3,82,3,85,72,79,68,87,82,85,76,82,3,71,72	0.007168,0.016639,0.000099,0.803166,0.104344,0.004329,0.064255	leia em voz alta o relatorio de status
disk_diag	0,70,82,81,73,76,74,88,85,68,3,82,3,69,85,76,79,75,82,3,71,82,3,80,82,81,76,87,82,85,3,83	0.007859,0.125423,0.000448,0.029326,0.489820,0.000814,0.346310	configura o brilho do monitor para cinquenta por cento agora mesmo
speech_synth	0,70,82,81,73,76,74,88,85,68,82,3,71,72,3,86,72,74,88,85,68,81,68,3,81,68,3,85,72,71,72,1	0.000313,0.016562,0.000096,0.151916,0.011192,0.381996,0.437925	configuração de segurança na rede
